Fecha;Moneda;Saldo;TC Oficial;Saldo (BOB);Cod Agencia;Agencia;;
2023-11-04;EUR;0,00;7,22493;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-04;PEN;0,00;1,78711;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-04;USD;250,00;6,86;1715,00;702;AGENCIA YAPACANI;;
2023-11-04;BOB;18237,50;1;18237,50;702;AGENCIA YAPACANI;;
2023-11-04;CLP;2907000,00;0,00767;22296,69;702;AGENCIA YAPACANI;;
2023-11-04;BRL;79,00;1,37447;108,58;702;AGENCIA YAPACANI;;
2023-11-04;EUR;2620,00;7,22493;18929,32;702;AGENCIA YAPACANI;;
2023-11-04;ARS;0,00;0,0196;0,00;702;AGENCIA YAPACANI;;
2023-11-04;PEN;0,00;1,78711;0,00;702;AGENCIA YAPACANI;;
2023-11-05;USD;1059,00;6,86;7264,74;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;BOB;16406,90;1;16406,90;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;CLP;0,00;0,00767;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;BRL;0,00;1,37447;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;EUR;0,00;7,22493;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;PEN;0,00;1,78711;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-05;USD;3240,00;6,86;22226,40;202;AGENCIA COLON;;
2023-11-05;BOB;9377,20;1;9377,20;202;AGENCIA COLON;;
2023-11-05;CLP;47000,00;0,00767;360,49;202;AGENCIA COLON;;
2023-11-05;BRL;1855,00;1,37447;2549,64;202;AGENCIA COLON;;
2023-11-05;EUR;875,00;7,22493;6321,81;202;AGENCIA COLON;;
2023-11-05;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-05;AUD;0,00;4,36912;0,00;202;AGENCIA COLON;;
2023-11-05;CAD;0,00;4,93916;0,00;202;AGENCIA COLON;;
2023-11-05;PEN;630,00;1,78711;1125,88;202;AGENCIA COLON;;
2023-11-05;GBP;0,00;8,31223;0,00;202;AGENCIA COLON;;
2023-11-05;CHF;0,00;7,53763;0,00;202;AGENCIA COLON;;
2023-11-05;NZD;0,00;4,32044;0,00;202;AGENCIA COLON;;
2023-11-05;PYG;0,00;0,00092;0,00;202;AGENCIA COLON;;
2023-11-05;USD;5720,00;6,86;39239,20;401;AGENCIA ORURO CENTRAL;;
2023-11-05;BOB;43709,10;1;43709,10;401;AGENCIA ORURO CENTRAL;;
2023-11-05;CLP;350000,00;0,00767;2684,50;401;AGENCIA ORURO CENTRAL;;
2023-11-05;BRL;0,00;1,37447;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;EUR;0,00;7,22493;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;AUD;0,00;4,36912;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;CAD;0,00;4,93916;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;PEN;0,00;1,78711;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;GBP;0,00;8,31223;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;CHF;0,00;7,53763;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-05;USD;2500,00;6,86;17150,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;BOB;13300,80;1;13300,80;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;CLP;0,00;0,00767;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;BRL;0,00;1,37447;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;EUR;0,00;7,22493;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;PEN;0,00;1,78711;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-05;USD;250,00;6,86;1715,00;702;AGENCIA YAPACANI;;
2023-11-05;BOB;16846,50;1;16846,50;702;AGENCIA YAPACANI;;
2023-11-05;CLP;2907000,00;0,00767;22296,69;702;AGENCIA YAPACANI;;
2023-11-05;BRL;79,00;1,37447;108,58;702;AGENCIA YAPACANI;;
2023-11-05;EUR;2620,00;7,22493;18929,32;702;AGENCIA YAPACANI;;
2023-11-05;ARS;0,00;0,0196;0,00;702;AGENCIA YAPACANI;;
2023-11-05;PEN;0,00;1,78711;0,00;702;AGENCIA YAPACANI;;
2023-11-06;USD;2887,00;6,86;19804,82;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;BOB;18627,80;1;18627,80;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;CLP;0,00;0,00767;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;BRL;0,00;1,37447;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;EUR;0,00;7,22493;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;ARS;0,00;0,0196;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;PEN;0,00;1,78711;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-06;USD;16055,00;6,86;110137,30;202;AGENCIA COLON;;
2023-11-06;BOB;50831,30;1;50831,30;202;AGENCIA COLON;;
2023-11-06;CLP;2744000,00;0,00767;21046,48;202;AGENCIA COLON;;
2023-11-06;BRL;3934,00;1,37447;5407,16;202;AGENCIA COLON;;
2023-11-06;EUR;3145,00;7,22493;22722,40;202;AGENCIA COLON;;
2023-11-06;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-06;PEN;100,00;1,78711;178,71;202;AGENCIA COLON;;
2023-11-06;USD;36,00;6,86;246,96;210;AGENCIA 6 DE MARZO;;
2023-11-06;BOB;241435,40;1;241435,40;210;AGENCIA 6 DE MARZO;;
2023-11-06;CLP;45000,00;0,00767;345,15;210;AGENCIA 6 DE MARZO;;
2023-11-06;BRL;0,00;1,37447;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-06;EUR;50,00;7,22493;361,25;210;AGENCIA 6 DE MARZO;;
2023-11-06;ARS;0,00;0,0196;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-06;PEN;0,00;1,78711;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-06;GBP;0,00;8,31223;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-06;USD;17850,00;6,86;122451,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;BOB;51160,20;1;51160,20;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;CLP;0,00;0,00767;0,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;BRL;1205,00;1,37447;1656,24;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;EUR;2265,00;7,22493;16364,47;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;ARS;0,00;0,0196;0,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;PEN;230,00;1,78711;411,04;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-06;USD;1025,00;6,86;7031,50;401;AGENCIA ORURO CENTRAL;;
2023-11-06;BOB;105242,90;1;105242,90;401;AGENCIA ORURO CENTRAL;;
2023-11-06;CLP;370000,00;0,00767;2837,90;401;AGENCIA ORURO CENTRAL;;
2023-11-06;BRL;0,00;1,37447;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;EUR;720,00;7,22493;5201,95;401;AGENCIA ORURO CENTRAL;;
2023-11-06;AUD;0,00;4,36912;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;CAD;0,00;4,93916;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;PEN;0,00;1,78711;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;GBP;0,00;8,31223;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;CHF;0,00;7,53763;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-06;USD;1043,00;6,86;7154,98;501;AGENCIA UYUNI;;
2023-11-06;BOB;43449,00;1;43449,00;501;AGENCIA UYUNI;;
2023-11-06;CLP;1191700,00;0,00767;9140,34;501;AGENCIA UYUNI;;
2023-11-06;BRL;0,00;1,37447;0,00;501;AGENCIA UYUNI;;
2023-11-06;EUR;1880,00;7,22493;13582,87;501;AGENCIA UYUNI;;
2023-11-06;PEN;150,00;1,78711;268,07;501;AGENCIA UYUNI;;
2023-11-06;USD;3570,00;6,86;24490,20;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;BOB;61310,30;1;61310,30;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;CLP;0,00;0,00767;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;BRL;0,00;1,37447;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;EUR;0,00;7,22493;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;PEN;0,00;1,78711;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-06;USD;0,00;6,86;0,00;702;AGENCIA YAPACANI;;
2023-11-06;BOB;20724,60;1;20724,60;702;AGENCIA YAPACANI;;
2023-11-06;CLP;210000,00;0,00767;1610,70;702;AGENCIA YAPACANI;;
2023-11-06;BRL;600,00;1,37447;824,68;702;AGENCIA YAPACANI;;
2023-11-06;EUR;350,00;7,22493;2528,73;702;AGENCIA YAPACANI;;
2023-11-06;ARS;0,00;0,0196;0,00;702;AGENCIA YAPACANI;;
2023-11-06;PEN;0,00;1,78711;0,00;702;AGENCIA YAPACANI;;
2023-11-07;USD;2887,00;6,86;19804,82;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;BOB;49871,50;1;49871,50;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;CLP;0,00;0,00778;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;BRL;0,00;1,40266;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;EUR;0,00;7,35736;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;ARS;0,00;0,0196;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;PEN;0,00;1,82408;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-07;USD;15730,00;6,86;107907,80;202;AGENCIA COLON;;
2023-11-07;BOB;87613,80;1;87613,80;202;AGENCIA COLON;;
2023-11-07;CLP;2674000,00;0,00778;20803,72;202;AGENCIA COLON;;
2023-11-07;BRL;3934,00;1,40266;5518,06;202;AGENCIA COLON;;
2023-11-07;EUR;3285,00;7,35736;24168,93;202;AGENCIA COLON;;
2023-11-07;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-07;AUD;0,00;4,45215;0,00;202;AGENCIA COLON;;
2023-11-07;CAD;0,00;5,01096;0,00;202;AGENCIA COLON;;
2023-11-07;PEN;330,00;1,82408;601,95;202;AGENCIA COLON;;
2023-11-07;GBP;0,00;8,48034;0,00;202;AGENCIA COLON;;
2023-11-07;CHF;0,00;7,63325;0,00;202;AGENCIA COLON;;
2023-11-07;NZD;0,00;4,32044;0,00;202;AGENCIA COLON;;
2023-11-07;PYG;0,00;0,00092;0,00;202;AGENCIA COLON;;
2023-11-07;USD;6536,00;6,86;44836,96;210;AGENCIA 6 DE MARZO;;
2023-11-07;BOB;63739,30;1;63739,30;210;AGENCIA 6 DE MARZO;;
2023-11-07;CLP;45000,00;0,00778;350,10;210;AGENCIA 6 DE MARZO;;
2023-11-07;BRL;0,00;1,40266;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-07;EUR;50,00;7,35736;367,87;210;AGENCIA 6 DE MARZO;;
2023-11-07;ARS;0,00;0,0196;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-07;PEN;0,00;1,82408;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-07;GBP;0,00;8,48034;0,00;210;AGENCIA 6 DE MARZO;;
